measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,48,Hungary,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,40.43174417715777,45.36343401248826,36.042233706823986
1,Deaths,48,Hungary,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,20.648850913853227,23.168115881509927,18.399283550691173
1,Deaths,48,Hungary,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,61.080595091010935,66.48394768100086,56.4335848256404
1,Deaths,149,Palestine,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,24.392316118181768,29.55862112531965,20.84539460364096
1,Deaths,149,Palestine,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,4.271124278484008,4.861709249184389,3.7502804870756425
1,Deaths,149,Palestine,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,28.66344039666577,34.203561024670506,24.964237813103306
1,Deaths,200,Benin,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,86.4647833024281,113.47761274078631,64.38328594852753
1,Deaths,200,Benin,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,11.40227621386549,14.53578486621208,8.539758575808552
1,Deaths,200,Benin,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,97.86705951629362,123.72346807263243,76.03546793006919
1,Deaths,23,Kiribati,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,0.4112972077001559,0.5477222967052255,0.2973068959967919
1,Deaths,23,Kiribati,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,0.19736578689551332,0.26807827995419475,0.14027747027302004
1,Deaths,23,Kiribati,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,0.6086629945956694,0.7527387888073773,0.47922573305674965
1,Deaths,125,Colombia,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,162.18283598255996,192.07226711845766,136.1620659078557
1,Deaths,125,Colombia,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,74.97674342925296,88.86240556536663,63.46725696566125
1,Deaths,125,Colombia,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,237.15957941181358,269.3921767724344,207.84861734780105
1,Deaths,175,Burundi,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,24.493361932615787,33.43278151752521,18.206943733330807
1,Deaths,175,Burundi,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,3.8441127026852957,5.060266343377392,2.9653497242228117
1,Deaths,175,Burundi,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,28.33747463530102,37.26220301154276,21.867127400613626
1,Deaths,74,Andorra,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,1.6552759479580768,2.0577781618170286,1.3134787704943396
1,Deaths,74,Andorra,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,0.4834271128163308,0.5958683578384656,0.388938106634967
1,Deaths,74,Andorra,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,2.1387030607744095,2.567097821869786,1.7834609582080625
1,Deaths,49,Macedonia,1,Male,22,All Ages,561,Drug use disorders,1,Number,2017,9.212894378378806,11.110634750278788,7.718390169668549
1,Deaths,49,Macedonia,2,Female,22,All Ages,561,Drug use disorders,1,Number,2017,2.3188014126353482,2.6659620076674804,2.027627117972879
1,Deaths,49,Macedonia,3,Both,22,All Ages,561,Drug use disorders,1,Number,2017,11.531695791014151,13.47595841272468,10.010289360328683
