measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,149,Palestine,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,14.188798246629318,24.268762716643078,10.018783465796508
1,Deaths,149,Palestine,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,11.732306579656592,19.468873413305914,8.820633048275415
1,Deaths,149,Palestine,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,25.92110482628591,40.71490425176599,19.322956903215875
1,Deaths,305,Bermuda,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.1452155972347222,0.1627282376579652,0.12557158329401572
1,Deaths,305,Bermuda,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.10178170420667793,0.11552972167066078,0.08905801466980463
1,Deaths,305,Bermuda,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.24699730144140042,0.2698656247751708,0.22424983717875707
1,Deaths,48,Hungary,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,75.17203333799371,83.09879609981519,67.58720539540401
1,Deaths,48,Hungary,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,55.24777824894827,61.05767224271588,49.757952388547665
1,Deaths,48,Hungary,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,130.41981158694196,140.5968668014008,120.74848223753077
1,Deaths,23,Kiribati,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.40053108211803784,0.5788875483832333,0.2647017584362454
1,Deaths,23,Kiribati,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.46922355970043106,0.6249541062120073,0.3454388154587854
1,Deaths,23,Kiribati,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.8697546418184688,1.1192630212487822,0.6721589991469196
1,Deaths,522,Sudan,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,536.5617856155033,944.5609434464287,174.09131622523645
1,Deaths,522,Sudan,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,584.2234346140046,941.3741028982735,235.82457743269754
1,Deaths,522,Sudan,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,1120.785220229509,1751.993529546574,483.03990901851057
1,Deaths,201,Burkina Faso,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,394.9831882162496,572.5324693739132,269.7068198256147
1,Deaths,201,Burkina Faso,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,344.0199682389529,461.9930910866933,257.37982389982403
1,Deaths,201,Burkina Faso,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,739.0031564552023,975.7247460322485,556.0186432411625
1,Deaths,175,Burundi,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,179.66132500022823,259.1275319065489,112.9819706055719
1,Deaths,175,Burundi,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,151.5970952458003,214.3283233353538,99.5365084738604
1,Deaths,175,Burundi,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,331.2584202460283,438.26011037292574,231.33794602032134
1,Deaths,25,Federated States of Micronesia,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.7144242596706939,1.1234629105462255,0.3928831829572911
1,Deaths,25,Federated States of Micronesia,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.7598563830079318,1.0807388486957192,0.4494103865606357
1,Deaths,25,Federated States of Micronesia,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,1.4742806426786255,2.065175443246349,0.910266186463044
1,Deaths,99,Uruguay,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,37.981549206165006,43.316999387112126,32.839893975900196
1,Deaths,99,Uruguay,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,46.79699736160397,54.273603178130585,40.31257306048447
1,Deaths,99,Uruguay,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,84.77854656776917,93.90769423970349,76.33756271662801
1,Deaths,74,Andorra,1,Male,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.45508595229597154,0.6161691860644268,0.34477712692172224
1,Deaths,74,Andorra,2,Female,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.32322639739955455,0.4450580141467729,0.23280458763549758
1,Deaths,74,Andorra,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2017,0.7783123496955272,0.9729941106623571,0.6094465953535602
