measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,48,Hungary,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,95.24018923788553,104.83713353233628,86.11626511375127
1,Deaths,48,Hungary,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,63.13426190945468,72.56452977152898,55.85912860022218
1,Deaths,48,Hungary,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,158.37445114734024,172.40337361776847,146.06560104296
1,Deaths,149,Palestine,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,214.71225912614952,263.24235698699175,81.20361290742139
1,Deaths,149,Palestine,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,45.07789741028747,64.02685245827749,13.973129477184797
1,Deaths,149,Palestine,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,259.7901565364369,322.4515755342085,100.67436215778075
1,Deaths,23,Kiribati,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,1.5490367891754402,4.552047540186446,0.8663550766272721
1,Deaths,23,Kiribati,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,0.4982824379021665,1.2046796223834426,0.2930776654749518
1,Deaths,23,Kiribati,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,2.047319227077608,5.518090291830973,1.2244202285474561
1,Deaths,98,Chile,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,699.3093560835913,824.6550784572664,596.4943496643953
1,Deaths,98,Chile,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,99.84157141693578,116.75183184476822,84.62655777564076
1,Deaths,98,Chile,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,799.1509275005275,926.847362265965,693.5560563814809
1,Deaths,175,Burundi,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,48.812269632092935,82.50587707463484,21.506759192749435
1,Deaths,175,Burundi,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,13.516490227915318,23.960197453089286,6.263354020702459
1,Deaths,175,Burundi,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,62.32875986000834,103.18848269330125,29.514558515897946
1,Deaths,200,Benin,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,451.280789791321,628.7144107056306,233.1204306043798
1,Deaths,200,Benin,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,127.07318102894389,188.71398401672948,57.60573119452092
1,Deaths,200,Benin,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,578.3539708202646,787.3728127569941,308.64571636937416
1,Deaths,74,Andorra,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,0.372674632323906,0.6335096225348298,0.2723380595367726
1,Deaths,74,Andorra,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,0.1889426784262201,0.3434657534000384,0.13842989955126983
1,Deaths,74,Andorra,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,0.5616173107501263,0.8942967916138239,0.4348769298111629
1,Deaths,305,Bermuda,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,1.650298003550831,1.913332046376132,1.417651748744619
1,Deaths,305,Bermuda,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,0.3456737802082632,0.40631250713775285,0.29243341334383655
1,Deaths,305,Bermuda,3,Both,22,All Ages,724,Interpersonal violence,1,Number,2017,1.995971783759095,2.2629368801129326,1.7631932449391792
1,Deaths,24,Marshall Islands,1,Male,22,All Ages,724,Interpersonal violence,1,Number,2017,2.715918316011054,3.6430218144704636,1.4823472394592194
1,Deaths,24,Marshall Islands,2,Female,22,All Ages,724,Interpersonal violence,1,Number,2017,0.8175885527186986,1.1900532148986347,0.5127388923360268
